epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
30,298.387,0.38499,0.30711,0.48789,0.85661,0,0.98573,1,0.99039,0.96272,0.98573,1,0.99039,0.98705,0.27448,0.21317,0.4566,0.79366,0,0.0008516,0.0008516,0.0008516
31,307.914,0.36413,0.3267,0.48342,0.86511,0,0.98552,1,0.99164,0.96852,0.98552,1,0.99164,0.99108,0.25443,0.22624,0.43596,0.78955,0,0.000812,0.000812,0.000812
32,317.638,0.3528,0.30552,0.4611,0.82691,0,0.99116,1,0.99486,0.97751,0.99116,1,0.99486,0.99486,0.24382,0.20958,0.41759,0.7844,0,0.0007724,0.0007724,0.0007724
33,327.188,0.38707,0.32154,0.46596,0.85482,0,0.99118,1,0.99486,0.9678,0.99118,1,0.99486,0.99486,0.2634,0.21255,0.42495,0.78463,0,0.0007328,0.0007328,0.0007328
34,336.75,0.34982,0.28758,0.44923,0.83786,0,0.99187,1,0.995,0.96709,0.99187,1,0.995,0.99448,0.25885,0.21458,0.4137,0.78323,0,0.0006932,0.0006932,0.0006932
35,346.468,0.35022,0.28336,0.46842,0.8518,0,0.99195,1,0.99465,0.97552,0.99195,1,0.99465,0.99404,0.23361,0.22106,0.39442,0.78067,0,0.0006536,0.0006536,0.0006536
36,356.201,0.33491,0.24955,0.43966,0.82787,0,0.99168,1,0.99408,0.98353,0.99168,1,0.99408,0.99109,0.22941,0.20194,0.37975,0.7832,0,0.000614,0.000614,0.000614
37,365.808,0.3366,0.25241,0.45447,0.85335,0,0.99186,1,0.99351,0.98165,0.99186,1,0.99351,0.99284,0.21124,0.19154,0.38184,0.77974,0,0.0005744,0.0005744,0.0005744
38,375.315,0.32126,0.28673,0.44327,0.82981,0,0.99198,1,0.99301,0.98255,0.99198,1,0.99301,0.98955,0.21407,0.19686,0.37623,0.77847,0,0.0005348,0.0005348,0.0005348
39,384.964,0.33102,0.28639,0.44215,0.83734,0,0.99225,1,0.99401,0.9846,0.99225,1,0.99401,0.9926,0.21285,0.20179,0.37369,0.77615,0,0.0004952,0.0004952,0.0004952
40,394.488,0.33659,0.35364,0.43569,0.85339,0,0.99245,1,0.99372,0.98027,0.99245,1,0.99372,0.99372,0.21952,0.20646,0.36749,0.77645,0,0.0004556,0.0004556,0.0004556
41,416.047,0.26694,0.22452,0.45793,0.79394,0,0.99236,1,0.99351,0.98069,0.99236,1,0.99351,0.99035,0.20718,0.19873,0.35862,0.77487,0,0.000416,0.000416,0.000416
42,425.566,0.25845,0.22647,0.4334,0.79617,0,0.99226,1,0.99387,0.98703,0.99226,1,0.99387,0.99289,0.20136,0.19396,0.34845,0.77162,0,0.0003764,0.0003764,0.0003764
43,435.17,0.26072,0.22094,0.42932,0.81335,0,0.99185,1,0.99394,0.98699,0.99185,1,0.99394,0.99174,0.20041,0.19746,0.34304,0.77201,0,0.0003368,0.0003368,0.0003368
44,444.697,0.23851,0.20986,0.41012,0.80847,0,0.99289,0.9981,0.99394,0.98808,0.99289,0.9981,0.99394,0.99253,0.2087,0.20017,0.33956,0.77167,0,0.0002972,0.0002972,0.0002972
45,454.255,0.26083,0.21681,0.43434,0.8088,0,0.99291,0.99983,0.99351,0.9883,0.99291,0.99983,0.99351,0.99237,0.20103,0.19749,0.33765,0.77135,0,0.0002576,0.0002576,0.0002576
46,463.809,0.24695,0.20384,0.40847,0.80363,0,0.99102,1,0.99344,0.989,0.99102,1,0.99344,0.9923,0.19931,0.19563,0.33289,0.77209,0,0.000218,0.000218,0.000218
47,473.576,0.23866,0.20363,0.41237,0.80871,0,0.99207,1,0.99394,0.98964,0.99207,1,0.99394,0.9936,0.18703,0.18891,0.33274,0.7694,0,0.0001784,0.0001784,0.0001784
48,483.227,0.22815,0.20745,0.40006,0.79655,0,0.99228,1,0.9945,0.99328,0.99228,1,0.9945,0.99415,0.1729,0.18552,0.32581,0.76759,0,0.0001388,0.0001388,0.0001388
49,492.864,0.23327,0.20996,0.3993,0.80489,0,0.99226,1,0.99479,0.99358,0.99226,1,0.99479,0.99453,0.1735,0.18489,0.31763,0.76754,0,9.92e-05,9.92e-05,9.92e-05
50,502.474,0.20714,0.19835,0.37589,0.78222,0,0.99228,1,0.99486,0.99369,0.99228,1,0.99486,0.99468,0.16984,0.18482,0.31496,0.76689,0,5.96e-05,5.96e-05,5.96e-05
