epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
31,359.012,0.23039,0.86636,0.82194,0.99831,1,0.995,0.995,0.07392,1.2937,0.47484,0.00224112,0.00074704,0.00224112,0.00074704,0.00224112,0.00074704,0.00224112,0.00074704
32,371.916,0.2881,0.93184,0.84893,0.99833,1,0.995,0.995,0.08659,1.2736,0.47662,0.00220134,0.00073378,0.00220134,0.00073378,0.00220134,0.00073378,0.00220134,0.00073378
33,382.341,0.19915,0.84199,0.79685,0.99833,1,0.995,0.995,0.08659,1.2736,0.47662,0.00215443,0.000718144,0.00215443,0.000718144,0.00215443,0.000718144,0.00215443,0.000718144
34,392.689,0.27129,0.96081,0.87549,0.99834,1,0.995,0.995,0.05534,1.27506,0.47679,0.0020796,0.0006932,0.0020796,0.0006932,0.0020796,0.0006932,0.0020796,0.0006932
35,404.224,0.31761,0.90388,0.82775,0.99835,1,0.995,0.995,0.06316,1.27284,0.47879,0.0019608,0.0006536,0.0019608,0.0006536,0.0019608,0.0006536,0.0019608,0.0006536
36,414.359,0.20715,0.94074,0.86476,0.99838,1,0.995,0.995,0.06003,1.23388,0.48068,0.001842,0.000614,0.001842,0.000614,0.001842,0.000614,0.001842,0.000614
37,426.271,0.28681,0.89126,0.84005,0.99838,1,0.995,0.995,0.06003,1.23388,0.48068,0.0017232,0.0005744,0.0017232,0.0005744,0.0017232,0.0005744,0.0017232,0.0005744
38,439.797,0.31435,0.76803,0.87724,0.99841,1,0.995,0.995,0.05465,1.16845,0.48025,0.0016044,0.0005348,0.0016044,0.0005348,0.0016044,0.0005348,0.0016044,0.0005348
39,451.401,0.30029,0.82062,0.83233,0.99842,1,0.995,0.995,0.06507,1.12201,0.47987,0.0014856,0.0004952,0.0014856,0.0004952,0.0014856,0.0004952,0.0014856,0.0004952
40,463.234,0.32319,0.84741,0.88819,0.99842,1,0.995,0.995,0.05584,1.09912,0.47901,0.0013668,0.0004556,0.0013668,0.0004556,0.0013668,0.0004556,0.0013668,0.0004556
41,474.162,0.35313,1.45028,0.8937,0.99842,1,0.995,0.995,0.05584,1.09912,0.47901,0.001248,0.000416,0.001248,0.000416,0.001248,0.000416,0.001248,0.000416
42,485.71,0.34016,1.3778,0.94359,0.99844,1,0.995,0.995,0.05256,1.02572,0.47759,0.0011292,0.0003764,0.0011292,0.0003764,0.0011292,0.0003764,0.0011292,0.0003764
43,497.381,0.33029,1.43393,0.95751,0.99844,1,0.995,0.995,0.06189,0.96133,0.47738,0.0010104,0.0003368,0.0010104,0.0003368,0.0010104,0.0003368,0.0010104,0.0003368
44,509.024,0.41083,1.76217,0.94579,0.99845,1,0.995,0.995,0.05787,0.91563,0.47719,0.0008916,0.0002972,0.0008916,0.0002972,0.0008916,0.0002972,0.0008916,0.0002972
45,519.707,0.35246,1.25662,0.86714,0.99845,1,0.995,0.995,0.05787,0.91563,0.47719,0.0007728,0.0002576,0.0007728,0.0002576,0.0007728,0.0002576,0.0007728,0.0002576
46,531.194,0.36947,1.525,0.9473,0.99848,1,0.995,0.995,0.06199,0.89283,0.47742,0.000654,0.000218,0.000654,0.000218,0.000654,0.000218,0.000654,0.000218
47,547.342,0.29839,1.22001,0.83127,0.99847,1,0.995,0.995,0.06972,0.88131,0.47731,0.0005352,0.0001784,0.0005352,0.0001784,0.0005352,0.0001784,0.0005352,0.0001784
48,560.174,0.21023,1.13949,0.88063,0.99846,1,0.995,0.995,0.08087,0.87256,0.47792,0.0004164,0.0001388,0.0004164,0.0001388,0.0004164,0.0001388,0.0004164,0.0001388
49,573.842,0.22171,1.18584,0.90308,0.99846,1,0.995,0.995,0.08087,0.87256,0.47792,0.0002976,9.92e-05,0.0002976,9.92e-05,0.0002976,9.92e-05,0.0002976,9.92e-05
50,588.095,0.23145,1.22356,0.82113,0.99845,1,0.995,0.995,0.08444,0.86169,0.4775,0.0001788,5.96e-05,0.0001788,5.96e-05,0.0001788,5.96e-05,0.0001788,5.96e-05
